gene_IDs,DMSO,BPA
ENSG00000114738,9.193064122,9.172978649
ENSG00000224404,3.039599137,2.651855324
ENSG00000134262,6.170012655,6.178523458
ENSG00000040487,16.84944525,16.67996162
ENSG00000087586,5.75641217,5.846542331
ENSG00000066027,8.354386284,8.312636683
ENSG00000233098,9.47616888,9.58706282
ENSG00000245648,3.701188969,3.114205589
ENSG00000198930,6.337106965,6.533844269
ENSG00000263720,3.577613371,1.61864631
ENSG00000165443,3.741764212,3.721945451
ENSG00000260325,3.352189447,3.403675821
ENSG00000158458,3.898077039,5.891007823
ENSG00000180758,2.429140935,2.647806194
ENSG00000197930,8.654656521,8.557600563
ENSG00000164889,7.904813306,8.128467856
ENSG00000232229,6.006550945,5.558221834
ENSG00000240440,3.194937107,3.175360363
ENSG00000233942,8.211116956,8.326640526
ENSG00000089818,4.737157368,4.685011307
ENSG00000174808,4.213822514,4.007366505
ENSG00000171681,7.744952298,7.680918574
ENSG00000213139,5.09698563,5.215780695
ENSG00000101413,9.49246885,9.457188282
ENSG00000233203,5.342564919,5.404508746
ENSG00000104332,5.016715663,5.112385456
ENSG00000271270,3.433818559,3.536881189
ENSG00000152104,3.966193518,3.83704231
ENSG00000196296,2.73237102,3.160991662
ENSG00000245385,4.573538403,3.33316547
ENSG00000183317,4.646620882,4.625252032
ENSG00000166803,7.224219819,7.486575787
ENSG00000162398,6.148614086,2.426386803
ENSG00000258108,2.137727111,2.410697924
ENSG00000236859,3.193811251,3.248882376
ENSG00000197223,8.571768768,8.536258275
ENSG00000214113,4.79983624,4.910278767
ENSG00000153029,8.595036251,8.633458719
ENSG00000143742,10.06742551,9.974283896
ENSG00000102981,3.37177179,3.483826543
ENSG00000155621,7.136934529,7.103285092
ENSG00000206192,8.919420892,9.072826691
ENSG00000074755,8.587116029,8.599083279
ENSG00000182108,11.97676968,11.97611905
ENSG00000169469,2.822985536,2.516748783
ENSG00000224418,5.010580648,4.870808346
ENSG00000233237,5.094454922,5.194475272
